	CM.82_WGS	CM.79_WGS	CM.67_WGS	CM.580_WGS	CM.574_WGS	CM.555_WGS	CM.553_WGS	CM.536_WGS	CM.532_WGS	CM.530_WGS	CM.528_WGS	CM.525_WGS	CM.520_WGS	CM.514_WGS	CM.512_WGS	CM.511_WGS	CM.490_WGS	CM.486_WGS	CM.47_WGS	CM.466_WGS	CM.454_WGS	CM.445_WGS	CM.443_WGS	CM.439_WGS	CM.438_WGS	CM.437_WGS	CM.432_WGS	CM.425_WGS	CM.418_WGS	CM.413_WGS	CM.412_WGS	CM.409_WGS	CM.408_WGS	CM.403_WGS	CM.402_WGS	CM.397_WGS	CM.395_WGS	CM.392_WGS	CM.389_WGS	CM.382_WGS	CM.378_WGS	CM.376_WGS	CM.375_WGS	CM.373_WGS	CM.370_WGS	CM.369_WGS	CM.367_WGS	CM.366_WGS	CM.364_WGS	CM.361_WGS	CM.358_WGS	CM.347_WGS	CM.345_WGS	CM.343_WGS	CM.342_WGS	CM.340_WGS	CM.339_WGS	CM.335_WGS	CM.328_WGS	CM.317_WGS	CM.316_WGS	CM.310_WGS	CM.308_WGS	CM.294_WGS	CM.291_WGS	CM.29_WGS	CM.289_WGS	CM.285_WGS	CM.284_WGS	CM.283_WGS	CM.278_WGS	CM.275_WGS	CM.24_WGS	CM.228_WGS	CM.208_WGS	CM.206_WGS	CM.199_WGS	CM.178_WGS	CM.177_WGS	CM.164_WGS	CM.162_WGS	CM.16_WGS	CM.152_WGS	CM.147_WGS	CM.146_WGS	CM.129_WGS
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_dentium	0	0	0	0	0.01249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0.04591	0	0	0	0	0.18102	0	0.11515	0	0.44755	0.21927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197	0	0	0.05218	0	0	0.53079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	0	0.00278	0	0.41043	0	0.02294	0	1.74109	0.06996	0	0	0	1.78283	2.43073	0	0	0	0	0	0	0.00896	0	0	2.08913	0	0	0	0.11539	0	0	0	0	0	0	0	0.37608	0	0	0	0	0.04484	0	0	0	0	0.01328	0	0	0	0.04322	0	0	0.04038	0	0	1.89453	0.00801	0	0	0	0.01398	0	0	0	0	0.15049	0	0	0	0	0	0.20576	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_ruminantium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Gardnerella.s__Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72367	0.04804	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00717	0	0	0.01944	0	0	0	0	0.01779	0	0	0	0.09924	0	0	0	0	0	0	0	0	0.00508	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.s__Olsenella_scatoligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03388	0	0	0.01251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_aerofaciens	0.0884	0.03258	0.10105	0.10721	0.14839	0.41103	0.00574	0	0.27787	0.94689	0.15189	0.02672	0.37514	8.88617	3.99574	0.12644	0.59059	1.31461	0.06375	0.04259	0.25156	0.02604	0.46195	0.07187	0.02384	0.44969	0	0.65565	0.14405	0.07855	0.46138	0	0.02752	0.08109	0.1096	0	0.05267	0	0.06883	0.09897	0.0104	0.00803	0.16978	0.0312	0.22415	0.23845	0.03667	0.18678	0.51256	0.00875	0.25106	0.25199	0.12383	1.2405	0.14504	0.10396	0.14698	2.0275	0	0.01013	0	0.09289	0.05351	0.13833	1.12535	0.43399	0	0.22786	0.03398	0.00634	0.02259	0	0.23414	0.97864	0.03328	1.49406	0.10574	0.32281	0.06225	0.26552	0.21242	0.79644	0.31937	0	0.12383	0.83319
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01315	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05258	0.11875	0	0	0.02816	0	0	0	0	0	0	0	0	0	0.01919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00744	0	0	0	0	0	0	0.0104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Enorma_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__.Collinsella._massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01391	0.0175	0	0	0.00465	0	0	0	0	0	0	0	0	0	0.00339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	0	0	0.22268	0	0	0	0	0	0.30053	0	0.10394	0.05285	0	0	0	0	0	0	0	0	0	0	0	0.04253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter.s__Asaccharobacter_celatus	0	0	0	0.07616	0	0	0	0	0	0.11786	0	0.03496	0.00932	0	0	0	0	0	0	0	0	0	0	0	0.00584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	0	0	0	0	0.11136	0	0	0.00944	0	0	0.05122	0	0	0	0	0	0	0	0	0.01028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06815	0	0.05085	0	0	0	0	0	0	0	0	0	0	0	0.07164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter.s__Gordonibacter_pamelaeae	0	0	0	0.00229	0	0	0	0	0	0.01963	0	0.0011	0	0	0	0.0056	0	0	0	0	0	0	0	0	0.0094	0	0	0	0	0	0	0.02643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0	0.45795	0	0	0	0	0	0	0	0	0	0	0	0.00838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia.s__Slackia_isoflavoniconvertens	0	0	0	0	0	0.01757	0	0	0	0	0	0	0	0.1188	3.0378	0	0.00396	0.10399	0.00608	0	0	0	0.00466	0	0	0.02589	0	0.20465	0.01097	0	0	0	0.02257	0	0.00446	0	0	0	0.03305	0	0	0	0	0	0.02445	0.07273	0	0.05847	0	0.01766	0	0	0	0.13132	0	0	0.00837	0.02721	0	0	0	0.00611	0	0	0.08023	0.01037	0	0.03305	0	0	0	0	0	0.07676	0	0.12863	0	0.00998	0	0	0	0.09613	0.06862	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae	0	0	0	1.31971	0.5573	2.24915	6.75642	0.11057	0	0	5.69617	2.17163	1.7854	0	0	0	0	0	0	0.05622	2.07162	0	0	0	0.12666	0	0.10689	0	0	0	1.57392	0	0	0	0.5914	0	0	3.6796	0	0	0	0	0	0	0.51472	0	0	0	0	0	2.12488	2.25235	0	0	0	0.15429	0	0.48388	0.14027	0	0	0.29307	2.80634	0	0	0.16689	0.03407	0	0	0.02933	0	0.34448	0	0	0	0	0	0	0	6.54789	0	0	0.10224	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0.05751	0	0	0	0	1.49307	6.1854	0	0.59074	0	0	0	0	0	0	0.06662	0	0	0	0	0	0	0	0	0	3.40452	0.82683	0	0.42775	0	0	0	0	0.68744	0	0	0	0.31274	0	0	0	0	0	0	0	0	0	0.12808	0	0	0.67452	0	0	8.64669	0.08499	0	0	0	2.90684	0	0	0.02941	1.32438	0	0	0	0	1.22555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_clarus	0	0	0	0.76195	0	0	0.02204	0	0	0	0.03022	0	0.40054	0	0	0	0	0	0	0.11769	0	0	0.01373	0	0	0	0	0	0	0	0	0	0.05106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprocola	0	0	0	0	0	0.34438	0	0	0	0	0	0	0	0	0	4.71686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprophilus	0	0	0	0	0.13814	1.31158	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15658	0	0	0	0	0	0	0	0	0	1.30762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_dorei	0	0	0	3.33118	0.11693	0.09869	0.42585	0.63112	0	0	0	13.23063	4.96237	0	0	0	0	0	0	4.88909	1.3524	0.2101	0.23649	0.24832	0	0	0	0	0	0.21949	0	0	0.44525	0	0	11.65372	0	25.44607	0	0	0	0.31427	0	0	0	1.06845	0.03684	0	0.6613	0	0	0	0.01111	0	0	0.0347	0.1361	2.21907	0.9658	7.6518	0	0	0	0	0	0	6.38915	0	0	0.08141	0	0	0.20656	0	0	0	10.99549	0	0	0.15985	0.01725	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78043	0	0	0.00996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.93159	0	0	0	0.79277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecichinchillae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0.05063	0	0	0	0	0.0198	0.20769	0.19191	0	0	0	0	0	0	0.0681	0	0	0	0	0.26837	0	0	0	0	0	0.51209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01552	0	0	0	0	0	0	0	0	0	0.08187	0	0	0	0	0.01406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0.20361	0.0088	0	0	0.00206	0	0	0.01716	0.01648	3.97986	0	0.10333	0	2.16883	0.34513	0	0	3.04855	0.00059	0	0	0.18323	0.20015	0	0.13099	0.0733	0	0	0.50873	0	0	0	0	0	0	0	0	0	0	0.68334	0	0.03146	6.87759	0.00062	0	0	0	0	0.03152	0.40093	0	0.01819	0	0	2.48793	0	0	0.05399	0	0.93664	0	4.58985	0.79836	0	0	0	0	0.03468	0	0.04509	0.10553	0	0	0	0	0.74131	0.09275	0	5.68753	10.10496	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_galacturonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0.0385	0	0	0	0	0	0	0	0.91502	0.96984	0	0	0	0	0	0.00311	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03742	0	0	0	0	0	1.08767	0.30464	0	0	0.31924	0	0	0	0	0	0.23182	0	0	0	0.10874	0.08639	0	0	0	0	0	0	0	0	0	0.14592	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_massiliensis	0	0	0	0	0.15669	0	0	0	0	0	0	0	0	0	0	1.92377	0	0	0	0	0	0	0	0	0	0	0.06107	0	0	0	0.03843	0	0.03236	0	0	0.51351	0	0.69542	0	0	0	0	0	0	0.01912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.826	0	0	0	0	0.85823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_nordii	0	0	0	0.00781	0	0	0	0	0	0	0	0.01794	0.00603	0	0	0	0	0	0	0	0	0	0	0	0.00516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0.28556	0.26827	0.70485	0	0.01329	0.1007	0	0.10292	1.16023	0.61173	0	0.01541	3.94318	0.38422	0	0	0.33939	0.55327	0.24765	0.00771	0	4.77974	0	0.44305	0	0	2.36941	1.72284	0.01017	0	0	0.01919	0	0.06568	0.38357	0	0.00936	0	0.57628	0.8091	0	0.00241	0	0.0767	0.00503	0.28431	0	0.94836	0.28917	0.09343	0	0	0.03526	0	0.87313	0.11764	3.61836	0	0.136	0.08444	0	0	0	0.07419	0.02552	0	0.00123	0	0.50509	0.06838	0	0	0	4.88166	0	0.02668	0.80598	0	0	0.22882	0	0	0
